Week,Meeting Date,Date ISO,Contractor,TPI,Construction,Purchasing,Warranty,Responses,Priority,Suggested Focus,Status,Meeting Time,Owner,Notes
1,"Wednesday, August 12, 2026",2026-08-12,Five Star,6.5,6.9,5.8,6.7,5,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
1,"Wednesday, August 12, 2026",2026-08-12,Creative Granite,6.8,6.4,6.9,7.4,9,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
1,"Wednesday, August 12, 2026",2026-08-12,J2,6.8,5.5,8.8,7.7,9,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
1,"Wednesday, August 12, 2026",2026-08-12,Thomas Brothers Drywall,7.1,6.9,7.6,,2,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
2,"Wednesday, August 19, 2026",2026-08-19,Bardsley and Sons,7.2,6.8,7.6,7.5,9,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
2,"Wednesday, August 19, 2026",2026-08-19,Lleyva,7.3,7.7,7.0,6.7,9,High Priority,Immediate improvement plan,Not Scheduled,,Brendan,
2,"Wednesday, August 19, 2026",2026-08-19,Ault,7.6,7.3,7.8,8.0,8,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
2,"Wednesday, August 19, 2026",2026-08-19,Vidor,7.6,6.4,9.1,8.6,7,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
3,"Wednesday, August 26, 2026",2026-08-26,Precision Flatwork,7.7,7.4,9.0,7.0,6,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
3,"Wednesday, August 26, 2026",2026-08-26,Gillette,7.8,7.4,8.2,8.2,9,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
3,"Wednesday, August 26, 2026",2026-08-26,Custom Flow,7.9,7.6,8.2,8.2,7,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
3,"Wednesday, August 26, 2026",2026-08-26,Monument Drywall,8.0,7.3,8.7,8.8,9,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
4,"Wednesday, September 2, 2026",2026-09-02,ASB Flatwork,8.2,8.0,8.6,,5,Priority Review,Clarify expectations and improvement areas,Not Scheduled,,Brendan,
4,"Wednesday, September 2, 2026",2026-09-02,Designer Marble,8.3,8.1,7.9,9.0,8,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
4,"Wednesday, September 2, 2026",2026-09-02,RMC,8.3,8.3,,,3,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
4,"Wednesday, September 2, 2026",2026-09-02,Republic,8.3,8.3,,,2,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
5,"Wednesday, September 9, 2026",2026-09-09,VZION,8.3,8.3,8.4,8.2,6,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
5,"Wednesday, September 9, 2026",2026-09-09,Lassiter,8.4,8.8,8.1,8.1,7,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
